10	10	___-__ ______	________________		
765	298755				
766	299521				
768	300289				
769	301058				
771	301829				
773	302602				
776	303378				
776	304154				
780	304934				
781	305715				
782	306497				
782	307279				
782	308061				
783	308844				
784	309628				
787	310415				
787	311202				
788	311990				
788	312778				
789	313567				
789	314356				
789	315145				
789	315934				
790	316724				
792	317516				
792	318308				
793	319101				
793	319894				
795	320689				
796	321485				
796	322281				
796	323077				
798	323875				
799	324674				
799	325473				
800	326273				
802	327075				
802	327877				
803	328680				
803	329483				
804	330287				
805	331092				
806	331898				
806	332704				
806	333510				
806	334316				
807	335123				
807	335930				
807	336737				
807	337544				
809	338353				
809	339162				
810	339972				
810	340782				
810	341592				
812	342404				
814	343218				
814	344032				
815	344847				
815	345662				
815	346477				
816	347293				
818	348111				
818	348929				
819	349748				
819	350567				
819	351386				
819	352205				
819	353024				
820	353844				
823	354667				
829	355496				
830	356326				
831	357157				
832	357989				
833	358822				
834	359656				
834	360490				
834	361324				
834	362158				
837	362995				
837	363832				
837	364669				
838	365507				
838	366345				
838	367183				
839	368022				
840	368862				
842	369704				
842	370546				
844	371390				
844	372234				
845	373079				
846	373925				
850	374775				
851	375626				
851	376477				
852	377329				
852	378181				
852	379033				
854	379887				
855	380742				
856	381598				
856	382454				
858	383312				
859	384171				
859	385030				
860	385890				
861	386751				
862	387613				
862	388475				
863	389338				
863	390201				
863	391064				
863	391927				
863	392790				
863	393653				
865	394518				
865	395383				
872	396255				
875	397130				
875	398005				
876	398881				
877	399758				
878	400636				
885	401521				
886	402407				
890	403297				
891	404188				
893	405081				
894	405975				
895	406870				
896	407766				
897	408663				
897	409560				
898	410458				
899	411357				
900	412257				
901	413158				
904	414062				
907	414969				
907	415876				
908	416784				
908	417692				
909	418601				
909	419510				
909	420419				
909	421328				
910	422238				
911	423149				
911	424060				
912	424972				
912	425884				
914	426798				
915	427713				
915	428628				
916	429544				
917	430461				
917	431378				
918	432296				
918	433214				
918	434132				
921	435053				
924	435977				
925	436902				
925	437827				
925	438752				
925	439677				
926	440603				
927	441530				
928	442458				
929	443387				
933	444320				
933	445253				
935	446188				
935	447123				
935	448058				
936	448994				
938	449932				
938	450870				
938	451808				
942	452750				
942	453692				
943	454635				
944	455579				
944	456523				
946	457469				
949	458418				
950	459368				
950	460318				
950	461268				
952	462220				
952	463172				
952	464124				
955	465079				
956	466035				
960	466995				
961	467956				
964	468920				
966	469886				
967	470853				
967	471820				
967	472787				
968	473755				
970	474725				
970	475695				
971	476666				
974	477640				
975	478615				
975	479590				
977	480567				
977	481544				
977	482521				
978	483499				
978	484477				
978	485455				
982	486437				
983	487420				
984	488404				
985	489389				
985	490374				
985	491359				
985	492344				
986	493330				
986	494316				
986	495302				
987	496289				
988	497277				
990	498267				
992	499259				
994	500253				
994	501247				
997	502244				
999	503243				
					
